Object,Time Step,Instance ID,Power Consumption
EdgeServer_4,38,4,66.9914
EdgeServer_5,38,5,74.50833333333334
EdgeServer_6,38,6,120.14166666666668
EdgeServer_1,39,1,178.37149999999997
EdgeServer_2,39,2,165.99599999999998
EdgeServer_3,39,3,66.9914
EdgeServer_4,39,4,66.9914
EdgeServer_5,39,5,74.50833333333334
EdgeServer_6,39,6,120.14166666666668
EdgeServer_1,40,1,190.74699999999999
EdgeServer_2,40,2,165.99599999999998
EdgeServer_3,40,3,66.9914
EdgeServer_4,40,4,66.9914
EdgeServer_5,40,5,74.50833333333334
EdgeServer_6,40,6,108.73333333333333
EdgeServer_1,41,1,190.74699999999999
EdgeServer_2,41,2,165.99599999999998
EdgeServer_3,41,3,66.9914
EdgeServer_4,41,4,66.9914
EdgeServer_5,41,5,74.50833333333334
EdgeServer_6,41,6,108.73333333333333
EdgeServer_1,42,1,190.74699999999999
EdgeServer_2,42,2,165.99599999999998
EdgeServer_3,42,3,66.9914
EdgeServer_4,42,4,66.9914
EdgeServer_5,42,5,74.50833333333334
EdgeServer_6,42,6,108.73333333333333
EdgeServer_1,43,1,190.74699999999999
EdgeServer_2,43,2,165.99599999999998
EdgeServer_3,43,3,66.9914
EdgeServer_4,43,4,66.9914
EdgeServer_5,43,5,74.50833333333334
EdgeServer_6,43,6,108.73333333333333
EdgeServer_1,44,1,190.74699999999999
EdgeServer_2,44,2,165.99599999999998
EdgeServer_3,44,3,66.9914
EdgeServer_4,44,4,66.9914
EdgeServer_5,44,5,74.50833333333334
EdgeServer_6,44,6,108.73333333333333
EdgeServer_1,45,1,190.74699999999999
EdgeServer_2,45,2,165.99599999999998
EdgeServer_3,45,3,66.9914
EdgeServer_4,45,4,66.9914
EdgeServer_5,45,5,74.50833333333334
EdgeServer_6,45,6,108.73333333333333
EdgeServer_1,46,1,190.74699999999999
EdgeServer_2,46,2,178.37149999999997
EdgeServer_3,46,3,66.9914
EdgeServer_4,46,4,66.9914
EdgeServer_5,46,5,74.50833333333334
EdgeServer_6,46,6,97.325
EdgeServer_1,47,1,203.1225
EdgeServer_2,47,2,165.99599999999998
EdgeServer_3,47,3,66.9914
EdgeServer_4,47,4,66.9914
EdgeServer_5,47,5,74.50833333333334
EdgeServer_6,47,6,97.325
EdgeServer_1,48,1,190.74699999999999
EdgeServer_2,48,2,165.99599999999998
EdgeServer_3,48,3,66.9914
EdgeServer_4,48,4,66.9914
EdgeServer_5,48,5,74.50833333333334
EdgeServer_6,48,6,108.73333333333333
EdgeServer_1,49,1,190.74699999999999
EdgeServer_2,49,2,165.99599999999998
EdgeServer_3,49,3,66.9914
EdgeServer_4,49,4,66.9914
EdgeServer_5,49,5,74.50833333333334
EdgeServer_6,49,6,108.73333333333333
EdgeServer_1,50,1,203.1225
EdgeServer_2,50,2,165.99599999999998
EdgeServer_3,50,3,66.9914
EdgeServer_4,50,4,66.9914
EdgeServer_5,50,5,74.50833333333334
EdgeServer_6,50,6,97.325
EdgeServer_1,51,1,190.74699999999999
EdgeServer_2,51,2,165.99599999999998
EdgeServer_3,51,3,66.9914
EdgeServer_4,51,4,66.9914
EdgeServer_5,51,5,74.50833333333334
EdgeServer_6,51,6,108.73333333333333
EdgeServer_1,52,1,203.1225
EdgeServer_2,52,2,165.99599999999998
EdgeServer_3,52,3,66.9914
EdgeServer_4,52,4,66.9914
EdgeServer_5,52,5,74.50833333333334
EdgeServer_6,52,6,97.325
EdgeServer_1,53,1,190.74699999999999
EdgeServer_2,53,2,165.99599999999998
EdgeServer_3,53,3,66.9914
EdgeServer_4,53,4,66.9914
EdgeServer_5,53,5,74.50833333333334
EdgeServer_6,53,6,108.73333333333333
EdgeServer_1,54,1,190.74699999999999
EdgeServer_2,54,2,165.99599999999998
EdgeServer_3,54,3,66.9914
EdgeServer_4,54,4,66.9914
EdgeServer_5,54,5,74.50833333333334
EdgeServer_6,54,6,108.73333333333333
EdgeServer_1,55,1,190.74699999999999
EdgeServer_2,55,2,165.99599999999998
EdgeServer_3,55,3,66.9914
EdgeServer_4,55,4,66.9914
EdgeServer_5,55,5,74.50833333333334
EdgeServer_6,55,6,108.73333333333333
EdgeServer_1,56,1,190.74699999999999
EdgeServer_2,56,2,165.99599999999998
EdgeServer_3,56,3,66.9914
EdgeServer_4,56,4,66.9914
EdgeServer_5,56,5,74.50833333333334
EdgeServer_6,56,6,108.73333333333333
EdgeServer_1,57,1,190.74699999999999
EdgeServer_2,57,2,165.99599999999998
EdgeServer_3,57,3,66.9914
EdgeServer_4,57,4,66.9914
EdgeServer_5,57,5,74.50833333333334
